frame,count
1381,8
1382,11
1383,8
1384,6
1385,6
1386,6
1387,7
1388,9
1389,8
1390,11
1391,10
1392,11
1393,10
1394,10
1395,10
1396,11
1397,11
1398,11
1399,12
1400,9
1401,9
1402,8
1403,7
1404,8
1405,9
1406,11
1407,11
1408,9
1409,10
1410,9
1411,10
1412,9
1413,9
1414,8
1415,9
1416,9
1417,7
1418,10
1419,10
1420,9
1421,10
1422,10
1423,10
1424,8
1425,8
1426,7
1427,9
1428,8
1429,11
1430,10
1431,10
1432,11
1433,11
1434,9
1435,9
1436,11
1437,12
1438,8
1439,9
1440,9
1441,12
1442,11
1443,11
1444,11
1445,12
1446,12
1447,11
1448,9
1449,9
1450,8
1451,12
1452,11
1453,8
1454,10
1455,11
1456,9
1457,11
1458,9
1459,9
1460,9
1461,10
1462,8
1463,8
1464,8
1465,9
1466,7
1467,7
1468,8
1469,7
1470,7
1471,10
1472,11
1473,12
1474,7
1475,9
1476,10
1477,9
1478,8
1479,6
1480,5
1481,8
1482,7
1483,9
1484,10
1485,8
1486,9
1487,8
1488,7
1489,7
1490,6
1491,6
1492,6
1493,7
1494,9
1495,11
1496,12
1497,9
1498,9
1499,10
1500,11
1501,9
1502,10
1503,12
1504,12
1505,8
1506,6
1507,8
1508,5
1509,6
1510,7
1511,7
1512,5
1513,5
1514,5
1515,4
1516,6
1517,7
1518,8
1519,7
1520,6
1521,5
1522,5
1523,7
1524,5
1525,5
1526,5
1527,5
1528,5
1529,4
1530,6
1531,6
1532,7
1533,6
1534,6
1535,6
1536,6
1537,5
1538,5
1539,4
1540,4
1541,4
1542,4
1543,4
1544,3
1545,4
1546,3
1547,3
1548,3
1549,3
1550,4
1551,3
1552,4
1553,5
1554,3
1555,3
1556,3
1557,4
1558,4
1559,4
1560,5
1561,5
1562,6
1563,6
1564,6
1565,6
1566,5
1567,4
1568,4
1569,4
1570,4
1571,5
1572,5
1573,4
1574,5
1575,5
1576,6
1577,7
1578,6
1579,5
1580,6
1581,6
1582,6
1583,6
1584,10
1585,11
1586,10
1587,6
1588,5
1589,5
1590,7
1591,7
1592,6
1593,6
1594,6
1595,3
1596,3
1597,5
1598,4
1599,4
1600,5
1601,5
1602,6
1603,7
1604,9
1605,9
1606,10
1607,8
1608,6
1609,7
1610,8
1611,8
1612,7
1613,7
1614,7
1615,8
1616,7
1617,7
1618,7
1619,6
1620,7
1621,6
1622,6
1623,7
1624,7
1625,8
1626,6
1627,7
1628,7
1629,8
1630,8
1631,7
1632,7
1633,8
1634,9
1635,12
1636,12
1637,11
1638,9
1639,7
1640,8
1641,9
1642,8
1643,7
1644,7
1645,8
1646,6
1647,10
1648,10
1649,9
1650,9
